time(sec),Ewe(V),I(mA),cycle #,Ece(V)
24.91181654837783,-0.5069705247879028,0.016576441339566372,0,-1.3214123249053955
24.921863548195688,-0.5060661435127258,0.01657723078096751,0,-1.3210697174072266
24.931910548013548,-0.5049570798873901,0.016583795513724908,0,-1.3200418949127197
24.942008547830483,-0.5040452480316162,0.016579228031332605,0,-1.3207271099090576
24.952055547648342,-0.503009021282196,0.016586613128311,0,-1.3203845024108887
24.962102547466202,-0.50198894739151,0.016585086996201426,0,-1.3193566799163818
24.97214954728406,-0.5010427236557007,0.016575153495068662,0,-1.3196992874145508
24.98219654710192,-0.4999372363090515,0.01658839755691588,0,-1.318671464920044
24.99224354691978,-0.4990164041519165,0.016598331058048643,0,-1.3193566799163818
25.00229054673764,-0.49799633026123047,0.0166090303537203,0,-1.317643642425537
25.0123375465555,-0.4969208538532257,0.016617945220787078,0,-1.317986249923706
25.02238454637336,-0.4960130751132965,0.016634230632917024,0,-1.3196992874145508
25.03243154619122,-0.49492064118385315,0.01665813397266902,0,-1.3169584274291992
25.04247854600908,-0.493971049785614,0.016670479453750886,0,-1.317986249923706
25.052576545826014,-0.49298593401908875,0.01668569711910095,0,-1.3173010349273682
25.062623545643874,-0.4919242858886719,0.016708369003026746,0,-1.3159306049346924
25.072670545461733,-0.49096888303756714,0.01672696089372039,0,-1.3169584274291992
25.082717545279593,-0.4898587465286255,0.016738169506425038,0,-1.3159306049346924
25.092764545097452,-0.48893558979034424,0.01675778185017407,0,-1.3162732124328613
25.102811544915312,-0.48792245984077454,0.016768479326856323,0,-1.3159306049346924
25.11285854473317,-0.4868446886539459,0.016782234524725936,0,-1.3145601749420166
25.12290554455103,-0.4859195053577423,0.01678053922660183,0,-1.3162732124328613
25.13295254436889,-0.48483899235725403,0.016763464373070747,0,-1.3149027824401855
25.14299954418675,-0.4838869869709015,0.016766880435170606,0,-1.3152453899383545
25.153097544003685,-0.48287051916122437,0.016773319657659158,0,-1.3145601749420166
25.163144543821545,-0.48181816935539246,0.016782489183242433,0,-1.3138749599456787
25.173191543639405,-0.48094114661216736,0.016782234524725936,0,-1.3145601749420166
25.183238543457264,-0.4798333942890167,0.01677484942774754,0,-1.3138749599456787
25.193285543275124,-0.4788363575935364,0.01677229920460377,0,-1.3142175674438477
25.203332543092984,-0.47786015272140503,0.016770773072494194,0,-1.3145601749420166
25.213379542910843,-0.4768262207508087,0.016772810340626165,0,-1.3135323524475098
25.223426542728703,-0.4758915305137634,0.016767971828812733,0,-1.3138749599456787
25.233473542546562,-0.4747811257839203,0.016761889128247276,0,-1.3128471374511719
25.243520542364422,-0.47382915019989014,0.01674823033681605,0,-1.3135323524475098
25.25356754218228,-0.47285810112953186,0.01675243220233824,0,-1.3131897449493408
25.263665541999217,-0.4718412160873413,0.016750140275689773,0,-1.3125044107437134
25.273712541817076,-0.47086265683174133,0.01673867882345803,0,-1.3131897449493408
25.283759541634936,-0.4697802662849426,0.016730273273424245,0,-1.3118191957473755
25.293806541452795,-0.4687601923942566,0.016717283870093524,0,-1.3118191957473755
25.303853541270655,-0.46780702471733093,0.016690537449903786,0,-1.3114765882492065
25.313900541088515,-0.46671542525291443,0.016669651813572273,0,-1.3111339807510376
25.323947540906374,-0.4658038020133972,0.01663755756453611,0,-1.3118191957473755
25.333994540724234,-0.46474945545196533,0.016610852981102653,0,-1.3094209432601929
25.344041540542094,-0.46376651525497437,0.016584584955126047,0,-1.3097635507583618
25.354088540359953,-0.4627930819988251,0.01654754851188045,0,-1.3107913732528687
25.36418654017689,-0.4617442488670349,0.016517587937414646,0,-1.308735728263855
25.374233539994748,-0.4607657194137573,0.016474541553179733,0,-1.3104487657546997
25.384280539812607,-0.45972946286201477,0.0164406665135175,0,-1.309078335762024
25.394327539630467,-0.45872095227241516,0.016399655578425154,0,-1.3097635507583618
25.404374539448327,-0.45777931809425354,0.01636043089092709,0,-1.3101061582565308
25.414421539266186,-0.4566600024700165,0.016325535398209468,0,-1.309078335762024
25.424468539084046,-0.4557299315929413,0.01629522375878878,0,-1.309078335762024
25.434515538901906,-0.45468905568122864,0.016262622011709027,0,-1.3077079057693481
25.444562538719765,-0.45364201068878174,0.016236283045145683,0,-1.308050513267517
25.454609538537625,-0.45273521542549133,0.016187688743229955,0,-1.3077079057693481
25.464656538355484,-0.4516761302947998,0.016165886336239055,0,-1.3070226907730103
25.47475453817242,-0.4507495164871216,0.016114634490804747,0,-1.308050513267517
25.48480153799028,-0.44967174530029297,0.01607337071618531,0,-1.3070226907730103
25.49484853780814,-0.4486539959907532,0.016044077710830607,0,-1.3066800832748413
25.504895537626,-0.447723925113678,0.016014277207432315,0,-1.3070226907730103
25.514942537443858,-0.44665536284446716,0.015985240679583512,0,-1.3063374757766724
25.524989537261717,-0.44569990038871765,0.01595391040609684,0,-1.3070226907730103
25.535036537079577,-0.444640576839447,0.0159200335474452,0,-1.3056522607803345
25.545083536897437,-0.4436008036136627,0.015891129805822857,0,-1.3059948682785034
25.555130536715296,-0.44267737865448,0.01584358687978238,0,-1.3059948682785034
25.565177536533156,-0.4416396915912628,0.015805762814125046,0,-1.3042818307876587
25.57527553635009,-0.4406779706478119,0.01574351881572511,0,-1.3049670457839966
25.58532253616795,-0.43963250517845154,0.015702764358138666,0,-1.3049670457839966
25.59536953598581,-0.43857550621032715,0.015653604350518435,0,-1.3042818307876587
25.60541653580367,-0.437686949968338,0.015614125004503876,0,-1.3042818307876587
